bruises,cap-color,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color
f,g,x,y,p,f,p,b,c,p,f,v,o,l,h,n,b,b,e,k,k,w
t,e,f,y,e,f,u,b,c,d,n,v,o,p,k,g,g,b,t,s,s,w
f,g,f,f,p,f,g,b,c,d,f,v,o,l,h,n,p,b,e,k,k,w
f,y,f,f,p,f,h,b,c,g,f,v,o,l,h,n,p,b,e,k,k,w
t,n,f,f,e,f,u,b,c,d,n,v,o,p,k,w,p,b,t,s,s,w
f,y,x,y,p,f,g,b,c,p,f,v,o,l,h,p,p,b,e,k,k,w
f,y,x,y,p,f,h,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w
f,e,x,y,p,f,b,n,c,d,y,v,o,e,w,p,p,?,t,k,s,w
f,y,x,f,p,f,p,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w
f,g,f,y,p,f,p,b,c,d,f,y,o,l,h,b,p,b,e,k,k,w
t,n,f,y,e,f,p,b,c,d,n,y,o,p,k,p,p,b,t,s,s,w
f,y,x,y,p,f,g,b,c,g,f,v,o,l,h,b,b,b,e,k,k,w
f,g,x,f,p,f,h,b,c,d,f,y,o,l,h,b,b,b,e,k,k,w
f,g,f,y,p,f,h,b,c,p,f,v,o,l,h,b,n,b,e,k,k,w
t,n,f,y,e,f,w,b,c,d,n,v,o,p,k,p,w,b,t,s,s,w
f,y,x,y,p,f,p,b,c,d,f,y,o,l,h,b,n,b,e,k,k,w
f,g,f,y,p,f,g,b,c,g,f,y,o,l,h,p,p,b,e,k,k,w
f,g,f,f,p,f,g,b,c,d,f,y,o,l,h,p,b,b,e,k,k,w
t,e,f,y,e,f,w,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w
t,e,f,y,e,f,w,b,c,d,n,v,o,p,k,p,g,b,t,s,s,w
t,g,f,s,p,f,p,b,c,u,f,v,o,p,h,w,w,b,t,f,f,w
f,g,x,f,p,f,g,b,c,p,f,y,o,l,h,p,n,b,e,k,k,w
f,g,f,y,p,f,g,b,c,p,f,v,o,l,h,n,b,b,e,k,k,w
f,y,x,f,p,f,h,b,c,d,f,v,o,l,h,b,n,b,e,k,k,w
f,g,f,y,p,f,p,b,c,d,f,v,o,l,h,b,n,b,e,k,k,w
f,g,x,y,p,f,g,b,c,p,f,v,o,l,h,p,b,b,e,k,k,w
f,g,f,y,p,f,h,b,c,d,f,v,o,l,h,b,b,b,e,k,k,w
f,y,x,y,p,f,p,b,c,d,f,v,o,l,h,b,b,b,e,k,k,w
f,g,f,y,p,f,p,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w
f,g,x,s,p,f,g,n,c,d,c,s,o,p,k,w,w,b,e,s,s,w
t,g,f,f,e,f,w,b,c,d,n,v,o,p,k,g,p,b,t,s,s,w
f,g,x,y,p,f,h,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w
f,g,f,y,p,f,p,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w
t,e,f,y,e,f,w,b,c,d,n,y,o,p,n,w,w,b,t,s,s,w
f,g,x,y,p,f,p,b,c,p,f,y,o,l,h,b,b,b,e,k,k,w
t,e,f,f,e,f,p,b,c,d,n,v,o,p,n,w,p,b,t,s,s,w
t,e,f,y,e,f,p,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w
t,e,f,y,e,f,n,b,c,d,n,y,o,p,n,p,p,b,t,s,s,w
f,y,f,f,p,f,h,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w
f,g,f,f,p,f,h,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
t,n,f,y,e,f,u,b,c,d,n,y,o,p,k,g,p,b,t,s,s,w
f,g,x,y,p,f,g,b,c,g,f,y,o,l,h,p,b,b,e,k,k,w
t,g,f,f,e,f,u,b,c,d,n,v,o,p,n,g,w,b,t,s,s,w
f,y,x,f,p,f,p,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w
f,y,x,y,p,f,p,b,c,d,f,v,o,l,h,p,n,b,e,k,k,w
f,y,x,y,p,f,p,b,c,d,f,v,o,l,h,n,p,b,e,k,k,w
f,c,f,f,e,f,w,n,w,l,n,v,o,e,w,w,n,b,e,f,f,w
f,g,x,f,p,f,h,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w
f,g,f,f,p,f,p,b,c,g,f,y,o,l,h,n,p,b,e,k,k,w
f,g,x,y,p,f,h,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w
f,g,f,y,p,f,p,b,c,g,f,y,o,l,h,p,b,b,e,k,k,w
t,b,x,s,p,f,w,b,c,u,f,s,o,p,h,w,w,b,t,f,s,w
f,g,f,f,p,f,h,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w
t,e,f,f,e,f,p,b,c,d,n,y,o,p,k,g,g,b,t,s,s,w
f,g,f,y,p,f,p,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
f,y,f,f,p,f,g,b,c,p,f,y,o,l,h,b,b,b,e,k,k,w
f,g,x,y,p,f,p,b,c,g,f,v,o,l,h,n,p,b,e,k,k,w
f,g,f,f,p,f,h,b,c,d,f,y,o,l,h,b,b,b,e,k,k,w
f,y,x,y,p,f,g,b,c,d,f,y,o,l,h,p,n,b,e,k,k,w
t,g,f,f,e,f,w,b,c,d,n,y,o,p,k,w,w,b,t,s,s,w
f,g,x,f,p,f,g,b,c,g,f,v,o,l,h,n,p,b,e,k,k,w
f,g,f,y,p,f,h,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w
f,g,x,f,p,f,g,b,c,p,f,y,o,l,h,p,p,b,e,k,k,w
t,n,f,y,e,f,p,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w
t,g,f,f,e,f,u,b,c,d,n,v,o,p,n,p,g,b,t,s,s,w
f,g,x,y,p,f,h,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w
f,y,f,y,p,f,h,b,c,p,f,v,o,l,h,p,p,b,e,k,k,w
f,y,f,f,p,f,h,b,c,d,f,v,o,l,h,n,b,b,e,k,k,w
f,g,f,f,p,f,g,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w
f,g,f,f,p,f,h,b,c,p,f,y,o,l,h,b,b,b,e,k,k,w
f,g,f,y,p,f,p,b,c,g,f,y,o,l,h,p,n,b,e,k,k,w
f,g,f,f,p,f,h,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w
f,g,f,f,p,f,g,b,c,d,f,y,o,l,h,p,p,b,e,k,k,w
t,g,f,f,e,f,w,b,c,d,n,y,o,p,k,p,w,b,t,s,s,w
f,y,x,f,p,f,p,b,c,p,f,y,o,l,h,b,b,b,e,k,k,w
f,y,x,f,p,f,h,b,c,p,f,y,o,l,h,b,b,b,e,k,k,w
t,e,f,y,e,f,u,b,c,d,n,y,o,p,k,p,p,b,t,s,s,w
t,g,x,y,e,f,n,b,c,d,n,v,o,p,n,g,w,b,t,s,s,w
t,b,f,s,p,f,w,b,c,u,f,s,o,p,h,w,w,b,t,f,f,w
t,e,f,f,e,f,u,b,c,d,n,y,o,p,n,p,p,b,t,s,s,w
f,n,x,y,p,f,b,n,c,d,y,v,o,e,w,p,p,?,t,k,k,w
f,g,x,f,p,f,n,n,w,d,c,v,o,p,k,w,w,b,e,s,s,w
f,p,x,f,p,f,n,n,w,d,c,v,o,p,n,w,w,b,e,s,s,w
f,n,x,y,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,k,w
f,g,f,f,p,f,g,b,c,p,f,y,o,l,h,n,p,b,e,k,k,w
f,y,x,f,p,f,g,b,c,g,f,v,o,l,h,b,b,b,e,k,k,w
t,g,x,s,p,f,w,b,c,u,f,s,o,p,h,w,w,b,t,s,f,w
f,g,f,y,p,f,h,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
f,y,x,f,p,f,p,b,c,d,f,y,o,l,h,b,b,b,e,k,k,w
f,g,f,y,p,f,g,b,c,p,f,y,o,l,h,n,p,b,e,k,k,w
f,g,f,f,p,f,h,b,c,d,f,y,o,l,h,n,b,b,e,k,k,w
f,g,f,y,p,f,h,b,c,d,f,y,o,l,h,b,b,b,e,k,k,w
f,g,x,y,p,f,g,b,c,g,f,y,o,l,h,n,p,b,e,k,k,w
f,g,f,f,p,f,h,b,c,g,f,y,o,l,h,p,p,b,e,k,k,w
f,y,x,f,p,f,p,b,c,g,f,y,o,l,h,b,b,b,e,k,k,w
f,y,f,f,p,f,p,b,c,g,f,v,o,l,h,n,n,b,e,k,k,w
f,y,x,f,p,f,h,b,c,g,f,v,o,l,h,n,b,b,e,k,k,w
f,y,x,f,p,f,g,b,c,g,f,y,o,l,h,b,p,b,e,k,k,w
f,y,x,y,p,f,p,b,c,g,f,v,o,l,h,n,p,b,e,k,k,w
t,g,f,s,p,f,h,b,c,u,f,v,o,p,h,w,w,b,t,s,s,w
f,y,x,f,p,f,h,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w
f,y,f,f,p,f,p,b,c,g,f,y,o,l,h,p,b,b,e,k,k,w
f,g,f,y,p,f,p,b,c,d,f,y,o,l,h,n,p,b,e,k,k,w
f,g,x,y,p,f,h,b,c,p,f,v,o,l,h,b,n,b,e,k,k,w
f,y,x,f,p,f,g,b,c,g,f,v,o,l,h,b,p,b,e,k,k,w
f,y,x,f,p,f,g,b,c,p,f,v,o,l,h,p,p,b,e,k,k,w
f,g,x,f,p,f,h,b,c,d,f,y,o,l,h,n,b,b,e,k,k,w
f,y,x,y,p,f,p,b,c,p,f,y,o,l,h,p,p,b,e,k,k,w
f,g,f,y,p,f,h,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w
t,w,f,s,p,f,p,b,c,u,f,s,o,p,h,w,w,b,t,f,f,w
f,y,f,f,p,f,h,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w
f,y,f,f,p,f,p,b,c,d,f,v,o,l,h,b,p,b,e,k,k,w
f,g,f,y,p,f,h,b,c,p,f,y,o,l,h,n,n,b,e,k,k,w
f,y,f,f,p,f,p,b,c,d,f,y,o,l,h,p,b,b,e,k,k,w
f,y,f,f,p,f,h,b,c,d,f,v,o,l,h,b,n,b,e,k,k,w
f,g,f,f,p,f,g,b,c,p,f,v,o,l,h,b,b,b,e,k,k,w
f,g,x,y,p,f,p,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w
f,y,x,f,p,f,h,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
f,g,x,y,p,f,p,b,c,p,f,y,o,l,h,n,b,b,e,k,k,w
t,e,f,y,e,f,p,b,c,d,n,v,o,p,n,w,w,b,t,s,s,w
f,y,x,y,p,f,g,b,c,d,f,v,o,l,h,n,b,b,e,k,k,w
f,y,f,f,p,f,h,b,c,d,f,v,o,l,h,n,p,b,e,k,k,w
f,y,f,f,p,f,p,b,c,d,f,y,o,l,h,p,n,b,e,k,k,w
f,y,f,f,p,f,g,b,c,d,f,v,o,l,h,b,p,b,e,k,k,w
f,g,f,y,p,f,p,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w
f,g,f,f,p,f,h,b,c,d,f,y,o,l,h,b,p,b,e,k,k,w
f,y,x,f,p,f,p,b,c,d,f,y,o,l,h,n,b,b,e,k,k,w
f,g,f,y,p,f,h,b,c,d,f,v,o,l,h,p,b,b,e,k,k,w
f,g,x,y,p,f,p,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w
t,b,x,s,p,f,p,b,c,g,f,s,o,p,h,w,w,b,t,f,s,w
t,w,x,s,p,f,h,b,c,g,f,s,o,p,h,w,w,b,t,f,s,w
f,y,x,f,p,f,g,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w
f,y,x,f,p,f,p,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w
f,y,x,y,p,f,g,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w
f,y,f,y,p,f,h,b,c,p,f,y,o,l,h,p,p,b,e,k,k,w
f,g,f,f,p,f,g,b,c,g,f,v,o,l,h,p,b,b,e,k,k,w
f,y,f,y,p,f,h,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w
f,y,f,f,p,f,h,b,c,g,f,v,o,l,h,p,b,b,e,k,k,w
f,g,x,y,p,f,h,b,c,p,f,y,o,l,h,p,n,b,e,k,k,w
f,g,x,y,p,f,h,b,c,p,f,v,o,l,h,p,p,b,e,k,k,w
f,g,f,f,p,f,p,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w
f,g,f,f,p,f,g,b,c,g,f,y,o,l,h,b,b,b,e,k,k,w
f,y,f,f,p,f,g,b,c,d,f,y,o,l,h,n,p,b,e,k,k,w
f,g,x,y,p,f,g,b,c,p,f,y,o,l,h,p,p,b,e,k,k,w
f,p,x,f,p,f,p,n,c,d,c,s,o,p,k,w,w,b,e,s,s,w
t,g,f,y,e,f,u,b,c,d,n,y,o,p,n,g,g,b,t,s,s,w
f,y,x,y,p,f,g,b,c,d,f,y,o,l,h,n,n,b,e,k,k,w
f,y,f,f,p,f,h,b,c,g,f,y,o,l,h,b,p,b,e,k,k,w
f,y,x,f,p,f,g,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w
f,g,x,y,p,f,g,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w
f,g,f,f,p,f,g,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w
f,g,x,y,p,f,h,b,c,d,f,v,o,l,h,p,n,b,e,k,k,w
f,y,x,f,p,f,h,b,c,g,f,y,o,l,h,b,n,b,e,k,k,w
f,g,x,y,p,f,h,b,c,d,f,y,o,l,h,p,b,b,e,k,k,w
f,y,x,y,p,f,g,b,c,d,f,v,o,l,h,n,p,b,e,k,k,w
f,y,x,f,p,f,g,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w
f,g,f,y,p,f,p,b,c,d,f,v,o,l,h,p,n,b,e,k,k,w
f,g,f,y,p,f,g,b,c,p,f,y,o,l,h,b,b,b,e,k,k,w
f,y,x,f,p,f,h,b,c,p,f,y,o,l,h,b,n,b,e,k,k,w
f,g,f,f,p,f,p,b,c,p,f,y,o,l,h,n,n,b,e,k,k,w
f,y,x,y,p,f,h,b,c,g,f,y,o,l,h,n,p,b,e,k,k,w
f,n,k,y,e,f,w,n,w,l,n,v,o,e,w,w,n,b,e,f,f,w
f,y,f,f,p,f,p,b,c,g,f,y,o,l,h,p,p,b,e,k,k,w
f,g,x,y,p,f,h,b,c,d,f,v,o,l,h,n,b,b,e,k,k,w
f,g,x,f,p,f,h,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
f,y,x,f,p,f,g,b,c,d,f,y,o,l,h,b,b,b,e,k,k,w
f,y,f,f,p,f,p,b,c,p,f,v,o,l,h,n,b,b,e,k,k,w
f,g,x,y,p,f,p,b,c,d,f,y,o,l,h,p,b,b,e,k,k,w
f,y,f,f,p,f,p,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w
f,y,x,f,p,f,g,b,c,d,f,v,o,l,h,b,b,b,e,k,k,w
f,g,f,y,p,f,h,b,c,g,f,y,o,l,h,p,n,b,e,k,k,w
f,g,f,y,p,f,h,b,c,g,f,v,o,l,h,n,b,b,e,k,k,w
t,p,f,s,e,f,e,b,c,w,n,c,t,e,w,w,w,?,e,s,s,w
f,g,f,f,p,f,p,b,c,g,f,v,o,l,h,n,b,b,e,k,k,w
t,p,k,s,e,f,e,b,c,w,n,c,t,e,w,w,e,?,e,s,s,w
f,g,f,f,p,f,p,b,c,p,f,y,o,l,h,n,b,b,e,k,k,w
f,g,x,y,p,f,g,b,c,g,f,y,o,l,h,p,p,b,e,k,k,w
f,y,f,f,p,f,p,b,c,p,f,v,o,l,h,p,n,b,e,k,k,w
f,g,f,f,p,f,h,b,c,p,f,y,o,l,h,b,n,b,e,k,k,w
f,y,x,f,p,f,g,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w
f,g,f,f,p,f,g,b,c,d,f,y,o,l,h,p,n,b,e,k,k,w
t,g,f,y,e,f,w,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w
f,g,f,y,p,f,h,b,c,d,f,y,o,l,h,p,b,b,e,k,k,w
f,y,x,f,p,f,p,b,c,d,f,v,o,l,h,p,n,b,e,k,k,w
f,y,x,f,p,f,h,b,c,p,f,y,o,l,h,n,p,b,e,k,k,w
f,g,f,f,p,f,g,b,c,g,f,v,o,l,h,n,n,b,e,k,k,w
f,g,f,f,p,f,h,b,c,d,f,y,o,l,h,n,n,b,e,k,k,w
f,g,f,y,p,f,g,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
f,y,f,f,p,f,h,b,c,g,f,y,o,l,h,p,b,b,e,k,k,w
f,g,f,y,p,f,g,b,c,d,f,v,o,l,h,n,p,b,e,k,k,w
f,y,x,y,p,f,p,b,c,p,f,y,o,l,h,n,b,b,e,k,k,w
f,g,x,y,p,f,p,b,c,g,f,y,o,l,h,b,n,b,e,k,k,w
f,y,x,y,p,f,p,b,c,g,f,v,o,l,h,p,b,b,e,k,k,w
f,g,f,y,p,f,g,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w
f,y,x,y,p,f,g,b,c,p,f,y,o,l,h,p,b,b,e,k,k,w
f,y,f,y,p,f,g,b,c,g,f,y,o,l,h,b,n,b,e,k,k,w
f,y,f,f,p,f,p,b,c,d,f,y,o,l,h,b,b,b,e,k,k,w
f,y,x,f,p,f,g,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w
f,g,f,f,p,f,p,b,c,g,f,v,o,l,h,b,p,b,e,k,k,w
f,y,x,f,p,f,h,b,c,d,f,v,o,l,h,p,b,b,e,k,k,w
f,g,f,f,p,f,h,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w
f,g,f,y,p,f,g,b,c,d,f,y,o,l,h,b,p,b,e,k,k,w
f,g,f,f,p,f,h,b,c,g,f,v,o,l,h,b,b,b,e,k,k,w
f,y,f,y,p,f,h,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w
f,g,f,f,p,f,p,b,c,g,f,y,o,l,h,p,b,b,e,k,k,w
f,g,f,y,p,f,p,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w
f,g,f,y,p,f,h,b,c,g,f,y,o,l,h,b,b,b,e,k,k,w
f,g,f,y,p,f,p,b,c,p,f,v,o,l,h,n,b,b,e,k,k,w
f,r,x,y,e,f,p,n,c,d,n,v,o,f,h,w,w,?,e,s,f,w
f,y,x,f,p,f,g,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
f,y,f,y,p,f,p,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w
f,n,x,y,p,f,b,n,c,p,s,v,o,e,w,w,w,?,t,k,s,w
f,g,x,y,p,f,h,b,c,d,f,v,o,l,h,b,n,b,e,k,k,w
f,y,x,f,p,f,g,b,c,d,f,y,o,l,h,b,p,b,e,k,k,w
f,y,f,f,p,f,p,b,c,d,f,y,o,l,h,b,p,b,e,k,k,w
f,n,k,y,p,f,w,n,c,d,n,v,o,e,w,w,n,?,e,k,y,w
f,g,x,y,p,f,h,b,c,g,f,y,o,l,h,b,p,b,e,k,k,w
f,g,f,y,p,f,g,b,c,g,f,y,o,l,h,n,p,b,e,k,k,w
f,y,x,f,p,f,p,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w
f,g,x,f,p,f,g,b,c,d,f,v,o,l,h,n,p,b,e,k,k,w
f,y,f,y,p,f,h,b,c,d,f,v,o,l,h,b,n,b,e,k,k,w
f,g,x,y,p,f,p,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w
f,g,x,y,p,f,g,b,c,d,f,v,o,l,h,n,b,b,e,k,k,w
f,g,x,y,p,f,g,b,c,g,f,y,o,l,h,p,n,b,e,k,k,w
t,e,f,y,e,f,w,b,c,d,n,y,o,p,k,g,p,b,t,s,s,w
f,y,f,f,p,f,h,b,c,p,f,y,o,l,h,n,n,b,e,k,k,w
f,y,x,y,p,f,h,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w
f,y,f,f,p,f,g,b,c,g,f,v,o,l,h,n,n,b,e,k,k,w
f,y,x,f,p,f,p,b,c,p,f,v,o,l,h,b,b,b,e,k,k,w
f,g,f,f,p,f,h,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w
f,g,f,f,p,f,h,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w
t,b,f,s,p,f,w,b,c,u,f,s,o,p,h,w,w,b,t,s,s,w
f,g,x,y,p,f,p,b,c,g,f,v,o,l,h,p,b,b,e,k,k,w
f,y,x,y,p,f,g,b,c,g,f,y,o,l,h,p,p,b,e,k,k,w
f,y,x,y,p,f,g,b,c,p,f,v,o,l,h,n,n,b,e,k,k,w
f,g,f,f,p,f,g,b,c,p,f,v,o,l,h,n,n,b,e,k,k,w
f,g,f,y,p,f,g,b,c,d,f,y,o,l,h,b,n,b,e,k,k,w
f,y,f,f,p,f,p,b,c,d,f,v,o,l,h,p,b,b,e,k,k,w
f,g,x,y,p,f,p,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w
f,g,f,y,p,f,h,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w
t,e,x,s,e,f,e,b,c,w,n,c,t,e,w,w,e,?,e,s,s,w
f,g,f,f,p,f,g,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w
f,y,f,f,p,f,p,b,c,d,f,y,o,l,h,n,p,b,e,k,k,w
f,g,f,y,p,f,g,b,c,d,f,y,o,l,h,n,n,b,e,k,k,w
f,g,f,y,p,f,g,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w
f,y,x,y,p,f,g,b,c,p,f,y,o,l,h,p,p,b,e,k,k,w
f,g,f,y,p,f,g,b,c,p,f,v,o,l,h,p,p,b,e,k,k,w
f,y,x,y,p,f,p,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w
f,y,f,y,p,f,p,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w
f,g,f,f,p,f,g,b,c,d,f,y,o,l,h,n,n,b,e,k,k,w
t,w,b,y,p,f,w,n,w,l,n,c,o,p,w,w,w,b,e,s,s,w
f,y,x,f,p,f,h,b,c,g,f,y,o,l,h,b,b,b,e,k,k,w
f,y,x,y,p,f,h,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w
t,b,f,s,p,f,h,b,c,u,f,v,o,p,h,w,w,b,t,s,s,w
